#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#!
#! ISO language codes (2-char and 3-char).  From https://www.loc.gov/standards/iso639-2/php/code_list.php,
#! augmented by entries from the Ethnologue.  See also
#! https://en.wikipedia.org/wiki/List_of_ISO_639_language_codes and the places
#! it points to.
#!
#! Format is:
#!
#!   3-char code | 2-char code where available | language name | comma-separated list of countries where language is used.
#!
#! where ' | ' represents a tab.
#!
#!
#!
#! Manual changes
#! ==============
#!
#! The 3-char code for Bengali (ben) does have a 2-char equivalent (bn).
#! However, I have removed the 2-char code below, because if we use it, texts
#! are recorded as Bangala rather than Bengali.  In fact, Bangala is a
#! recognised alternative to Bengali, but we have decided we want the texts
#! displayed as Bengali.
#!
#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

bhq		Tukang Besi South	Indonesia
bhr		Bara Malagasy	Madagascar
bhs		Buwal	Cameroon
bht		Bhattiyali	India
bhu		Bhunjia	India
bhv		Bahau	Indonesia
bhw		Biak	Indonesia
bhx		Bhalay	India
bhy		Bhele	Democratic Republic of the Congo
bhz		Bada	Indonesia
bia		Badimaya	Australia
bib		Bissa	Burkina Faso, Ghana, Togo
bid		Bidiyo	Chad
bie		Bepour	Papua New Guinea
bif		Biafada	Guinea-Bissau
big		Biangai	Papua New Guinea
bil		Bille	Nigeria
bim		Bimoba	Ghana
bin		Edo	Nigeria
bio		Nai	Papua New Guinea
bip		Bila	Democratic Republic of the Congo
biq		Bipi	Papua New Guinea
bir		Bisorio	Papua New Guinea
bis	bi	Bislama	Vanuatu
bit		Berinomo	Papua New Guinea
biu		Biate	India
biv		Southern Birifor	Côte d’Ivoire, Ghana
biw		Kol	Cameroon
bix		Bijori	India
biy		Birhor	India
biz		Baloi	Democratic Republic of the Congo
bja		Budja	Democratic Republic of the Congo
bjb		Barngarla	Australia
bjc		Bariji	Papua New Guinea
bje		Biao-Jiao Mien	China
bjf		Barzani-Sandu Jewish Neo-Aramaic	Israel
bjg		Bijagó	Guinea-Bissau
bjh		Bahinemo	Papua New Guinea
bji		Burji	Ethiopia
bjj		Kanauji	India
