#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#!
#! There are a number of different sources of information as regards books and
#! the order in which they appear:
#!
#! Details of these can be found at:
#!
#! - UBS: https://ubsicap.github.io/usfm/identification/books.html
#!
#! - USX: https://paratext.thedigitalbiblelibrary.org/static/docs/usx/vocabularies.html
#!
#! - OSIS: https://www2.crosswire.org/osis/OSIS%202.1.1%20User%20Manual%2006March2006.pdf
#!   Appendix C1 or https://wiki.crosswire.org/OSIS_Book_Abbreviations#cite_note-10.
#!
#!
#! There is also a fourth collection below -- the names needed in the JSON files
#! we create in support of our own osis2mod, giving verse-structure and mapping
#! details.  These need to follow Crosswire practice, which unfortunately to some
#! extent represents yet another scheme.
#!
#! I did at one stage think that the Crosswire header files might also have a
#! thing or two to say on the subject, but in fact I think they are not so
#! relevant after all: they merely say which of the possible books appear within
#! the various versification schemes for which they cater.
#!
#! I had also assumed that the OSIS reference manual would be definitive, but in
#! fact Crosswire have their own greatly expanded list of books, and I now
#! believe this to be the list to be which we should be working.
#!
#! Unfortunately, their list contains quite a lot of books which do not appear
#! in the USX scheme, nor, so far as I can see, in the UBS document upon which
#! USX is based.  This means that in theory we lack USX abbreviations and names
#! for these books.  This is unfortunate, because I really need abbreviations
#! for the sake of uniformity.  These entries in the data below are marked with
#! a tilde in the data below so I don't lose track of them.  The processing
#! replaces the tildes with a copy of the OSIS abbreviation and name for the
#! sake of having something I can work with.
#!
#! There are also some places where the Crosswire list gives a USX abbreviation,
#! but not one -- so far as I can see -- which actually appears in the USX
#! or UBS documentation.  Pending further investigation, I have retained the
#! abbreviation given in the Crosswire documentation, but placed a tilde at
#! the front so I don't lose track of the ones with which I have a potential
#! issue.
#!
#! Incidentally, it doesn't matter if there are some books which USX does not
#! appear to support, since presumably we're simply not going to see them in
#! any USX input, so it doesn't greatly matter what pretend name we give to
#! them.
#!
#!
#!
#! IMPORTANT
#! =========
#!
#! m_DcStart in BibleAnatomy assumes Tobit is the first DC entry.
#! m_DcEnd in BibleAnatomy assumes 'DUMMY' is the last DC entry.
#! Processing assumes that the DC books run contiguously.
#!
#! If you need to change any of the above, the definitions of m_DcStart and
#! m_DcEnd may need to be changed and / or processing may need to be revised.
#!
#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

#BookNo	OsisAbbreviation	OsisShortName	UsxAbbreviation	UsxShortName	ImpAbbreviation	ImpShortName	JsonAbbreviation	JsonShortName
120	T12Patr.TAsh	Testament of Asher	~XT12Patr.TAsh	~	T12Patr.TAsh	Testament of Asher	NoEquivalent	No equivalent to T12Patr.TAsh
121	T12Patr.TBenj	Testament of Benjamin	~XT12Patr.TBenj	~	T12Patr.TBenj	Testament of Benjamin	NoEquivalent	No equivalent to T12Patr.TBenj
122	T12Patr.TDan	Testament of Dan	~XT12Patr.TDan	~	T12Patr.TDan	Testament of Dan	NoEquivalent	No equivalent to T12Patr.TDan
123	T12Patr.TGad	Testament of Gad	~XT12Patr.TGad	~	T12Patr.TGad	Testament of Gad	NoEquivalent	No equivalent to T12Patr.TGad
124	T12Patr.TIss	Testament of Issachar	~XT12Patr.TIss	~	T12Patr.TIss	Testament of Issachar	NoEquivalent	No equivalent to T12Patr.TIss
125	T12Patr.TJos	Testament of Joseph	~XT12Patr.TJos	~	T12Patr.TJos	Testament of Joseph	NoEquivalent	No equivalent to T12Patr.TJos
126	T12Patr.TJud	Testament of Judah	~XT12Patr.TJud	~	T12Patr.TJud	Testament of Judah	NoEquivalent	No equivalent to T12Patr.TJud
127	T12Patr.TLevi	Testament of Levi	~XT12Patr.TLevi	~	T12Patr.TLevi	Testament of Levi	NoEquivalent	No equivalent to T12Patr.TLevi
128	T12Patr.TNaph	Testament of Naphtali	~XT12Patr.TNaph	~	T12Patr.TNaph	Testament of Naphtali	NoEquivalent	No equivalent to T12Patr.TNaph
129	T12Patr.TReu	Testament of Reuben	~XT12Patr.TReu	~	T12Patr.TReu	Testament of Reuben	NoEquivalent	No equivalent to T12Patr.TReu
130	T12Patr.TSim	Testament of Simeon	~XT12Patr.TSim	~	T12Patr.TSim	Testament of Simeon	NoEquivalent	No equivalent to T12Patr.TSim
131	T12Patr.TZeb	Testament of Zebulun	~XT12Patr.TZeb	~	T12Patr.TZeb	Testament of Zebulun	NoEquivalent	No equivalent to T12Patr.TZeb
132	2Bar	2 Baruch	~2Ba	~	2Bar	2 Baruch	NoEquivalent	No equivalent to 2Bar
133	EpBar	Letter of Baruch	~Lba[34]	~	EpBar	Letter of Baruch	NoEquivalent	No equivalent to EpBar
134	5ApocSyrPss	Additional Syriac Psalms	~Ps3	~	5ApocSyrPss	Additional Syriac Psalms	NoEquivalent	No equivalent to 5ApocSyrPss
135	JosephusJWvi	Josephus' Jewish War VI	~XJosephusJWvi	~	JosephusJWvi	Josephus' Jewish War VI	NoEquivalent	No equivalent to JosephusJWvi
136	1Clem	1 Clement	~1Cl	~	1Clem	1 Clement	NoEquivalent	No equivalent to 1Clem
137	2Clem	2 Clement	~2Cl	~	2Clem	2 Clement	NoEquivalent	No equivalent to 2Clem
138	IgnEph	Ignatius to the Ephesians	~XIgnEph	~	IgnEph	Ignatius to the Ephesians	NoEquivalent	No equivalent to IgnEph
139	IgnMagn	Ignatius to the Magnesians	~XIgnMagn	~	IgnMagn	Ignatius to the Magnesians	NoEquivalent	No equivalent to IgnMagn
140	IgnTrall	Ignatius to the Trallians	~XIgnTrall	~	IgnTrall	Ignatius to the Trallians	NoEquivalent	No equivalent to IgnTrall
141	IgnRom	Ignatius to the Romans	~XIgnRom	~	IgnRom	Ignatius to the Romans	NoEquivalent	No equivalent to IgnRom
142	IgnPhld	Ignatius to the Philadelphians	~XIgnPhld	~	IgnPhld	Ignatius to the Philadelphians	NoEquivalent	No equivalent to IgnPhld
143	IgnSmyrn	Ignatius to the Smyrnaeans	~XIgnSmyrn	~	IgnSmyrn	Ignatius to the Smyrnaeans	NoEquivalent	No equivalent to IgnSmyrn
144	IgnPol	Ignatius to Polycarp	~XIgnPol	~	IgnPol	Ignatius to Polycarp	NoEquivalent	No equivalent to IgnPol
145	PolPhil	Polycarp to the Philippians	~XPolPhil	~	PolPhil	Polycarp to the Philippians	NoEquivalent	No equivalent to PolPhil
146	MartPol	Martyrdom of Polycarp	~XMartPol	~	MartPol	Martyrdom of Polycarp	NoEquivalent	No equivalent to MartPol
147	Did	Didache	~Did	~	Did	Didache	NoEquivalent	No equivalent to Did
148	Barn	Barnabas	~Lba[34]	~	Barn	Barnabas	NoEquivalent	No equivalent to Barn
149	Herm	Shepherd of Hermas (comprised of:)	~She	~	Herm	Shepherd of Hermas (comprised of:)	NoEquivalent	No equivalent to Herm
150	Herm.Mand	Shepherd of Hermas, Mandates	~XHerm.Mand	~	Herm.Mand	Shepherd of Hermas, Mandates	NoEquivalent	No equivalent to Herm.Mand
151	Herm.Sim	Shepherd of Hermas, Similitudes	~XHerm.Sim	~	Herm.Sim	Shepherd of Hermas, Similitudes	NoEquivalent	No equivalent to Herm.Sim
152	Herm.Vis	Shepherd of Hermas, Visions	~XHerm.Vis	~	Herm.Vis	Shepherd of Hermas, Visions	NoEquivalent	No equivalent to Herm.Vis
153	Diogn	Diognetus	~XDiogn	~	Diogn	Diognetus	NoEquivalent	No equivalent to Diogn
154	AposCreed	Apostles' Creed	~XAposCreed	~	AposCreed	Apostles' Creed	NoEquivalent	No equivalent to AposCreed
155	PapFrag	Fragments of Papias	~XPapFrag	~	PapFrag	Fragments of Papias	NoEquivalent	No equivalent to PapFrag
156	RelElders	Reliques of the Elders	~XRelElders	~	RelElders	Reliques of the Elders	NoEquivalent	No equivalent to RelElders
157	QuadFrag	Fragment of Quadratus	~XQuadFrag	~	QuadFrag	Fragment of Quadratus	NoEquivalent	No equivalent to QuadFrag
158	TatDiat	Diatessaron	~XTatDiat	~	TatDiat	Diatessaron	NoEquivalent	No equivalent to TatDiat
159	PsMet	Metrical Psalms	~Psb	~	PsMet	Metrical Psalms	NoEquivalent	No equivalent to PsMet
160	DUMMY	Dummy to mark end of table.   Always keep this as the last row.	DUMMY	Dummy to mark end of table.   Always keep this as the last row.	DUMMY	Dummy to mark end of table.   Always keep this as the last row.	DUMMY	Dummy to mark end of table.   Always keep this as the last row.
